PID,RESPONSE,RT,STIM,GROUP,PICNOS1,PICNOS2,MATCH,ORTN1,ORTN2,PICID1,PICID2,DAY,SESSION
1,1,772,4,4,93,91,1,3,1,1,1,1,1
1,1,829,5,4,106,108,1,1,3,25,25,1,1
1,2,811,6,4,109,110,1,1,2,28,28,1,1
1,2,1041,7,4,116,105,2,2,3,31,15,1,1
1,2,1419,8,4,100,114,2,1,3,14,30,1,1
1,1,620,9,4,119,120,1,2,3,35,35,1,1
1,2,725,10,4,104,96,2,2,3,15,6,1,1
1,1,737,11,3,73,74,1,1,2,18,18,1,1
1,2,1525,12,3,77,70,2,2,1,19,16,1,1
1,2,1071,13,3,71,63,2,2,3,16,3,1,1
1,1,1387,14,3,67,69,1,1,3,10,10,1,1
1,1,1308,15,3,85,84,2,1,3,23,22,1,1
1,1,798,16,3,80,81,1,2,3,21,21,1,1
1,2,822,17,3,63,76,2,3,1,3,19,1,1
1,1,710,18,3,90,89,1,3,2,36,36,1,1
1,2,1124,19,3,82,87,2,1,3,22,23,1,1
1,1,1210,20,3,66,65,1,3,2,9,9,1,1
1,1,881,21,4,91,92,1,1,2,1,1,1,1
1,2,1067,22,4,114,101,2,3,2,30,14,1,1
1,2,1096,23,4,110,109,1,2,1,28,28,1,1
1,1,1123,24,4,95,96,1,2,3,6,6,1,1
1,2,1461,25,4,100,119,2,1,2,14,35,1,1
1,2,892,26,4,107,114,2,2,3,25,30,1,1
1,2,991,27,4,97,107,2,1,2,7,25,1,1
1,1,1928,28,4,103,104,1,1,2,15,15,1,1
1,2,804,29,4,120,97,2,3,1,35,7,1,1
1,1,1324,30,4,117,116,1,3,2,31,31,1,1
1,2,916,31,3,69,85,2,3,1,10,23,1,1
1,2,749,32,3,65,79,2,2,1,9,21,1,1
1,1,1185,33,3,70,71,1,1,2,16,16,1,1
1,1,598,34,3,81,73,2,3,1,21,18,1,1
1,1,676,35,3,62,61,1,2,1,3,3,1,1
1,2,916,36,3,73,68,2,1,2,18,10,1,1
1,1,556,37,3,90,89,1,3,2,36,36,1,1
1,1,684,38,3,83,84,1,2,3,22,22,1,1
1,2,1186,39,3,76,78,1,1,3,19,19,1,1
1,2,950,40,3,85,66,2,1,3,23,9,1,1
1,2,1453,41,1,18,16,1,3,1,29,29,1,1
1,1,1285,42,1,23,22,1,2,1,34,34,1,1
1,2,1192,43,1,29,15,2,2,3,40,24,1,1
1,2,792,44,1,26,12,2,2,3,38,13,1,1
1,2,813,45,1,3,28,2,3,1,2,40,1,1
1,1,1128,46,1,19,21,1,1,3,32,32,1,1
1,1,792,47,1,6,5,1,3,2,4,4,1,1
1,2,797,48,1,13,2,2,1,2,24,2,1,1
1,1,571,49,1,7,8,1,1,2,12,12,1,1
